repository,name,value
https://github.com/nikolaypavlov/MLPNeuralNet,Number of watchers,885.0
https://github.com/nikolaypavlov/MLPNeuralNet,Has issues,1.0
https://github.com/nikolaypavlov/MLPNeuralNet,Size of repo,484.0
https://github.com/nikolaypavlov/MLPNeuralNet,Has downloads,1.0
https://github.com/nikolaypavlov/MLPNeuralNet,Active time in days,1101.0
https://github.com/SeldonIO/seldon-server,Number of open issues,13.0
https://github.com/SeldonIO/seldon-server,Is a fork,0.0
https://github.com/SeldonIO/seldon-server,Has wiki,1.0
https://github.com/SeldonIO/seldon-server,Number of watchers,939.0
https://github.com/SeldonIO/seldon-server,Has issues,1.0
https://github.com/SeldonIO/seldon-server,Size of repo,2956.0
https://github.com/SeldonIO/seldon-server,Has downloads,1.0
https://github.com/SeldonIO/seldon-server,Active time in days,676.0
https://github.com/apache/mahout,Number of open issues,18.0
https://github.com/apache/mahout,Is a fork,0.0
https://github.com/apache/mahout,Has wiki,0.0
https://github.com/apache/mahout,Has issues,0.0
https://github.com/apache/mahout,Number of watchers,999.0
https://github.com/apache/mahout,Has downloads,1.0
https://github.com/apache/mahout,Active time in days,949.0
https://github.com/apache/mahout,Size of repo,49162.0
https://github.com/mikeizbicki/HLearn,Number of open issues,21.0
https://github.com/mikeizbicki/HLearn,Is a fork,0.0
https://github.com/mikeizbicki/HLearn,Has wiki,1.0
https://github.com/mikeizbicki/HLearn,Number of watchers,1131.0
https://github.com/mikeizbicki/HLearn,Has issues,1.0
https://github.com/mikeizbicki/HLearn,Size of repo,17533.0
https://github.com/mikeizbicki/HLearn,Has downloads,1.0
https://github.com/mikeizbicki/HLearn,Active time in days,1411.0
https://github.com/shogun-toolbox/shogun,Number of open issues,486.0
https://github.com/shogun-toolbox/shogun,Is a fork,0.0
https://github.com/shogun-toolbox/shogun,Has wiki,1.0
https://github.com/shogun-toolbox/shogun,Number of watchers,1245.0
https://github.com/shogun-toolbox/shogun,Has issues,1.0
https://github.com/shogun-toolbox/shogun,Active time in days,2100.0
https://github.com/shogun-toolbox/shogun,Size of repo,61863.0
https://github.com/shogun-toolbox/shogun,Has downloads,1.0
https://github.com/cloudera/oryx,Number of open issues,1.0
https://github.com/cloudera/oryx,Is a fork,0.0
https://github.com/cloudera/oryx,Has wiki,1.0
https://github.com/cloudera/oryx,Number of watchers,1404.0
https://github.com/cloudera/oryx,Has issues,0.0
https://github.com/cloudera/oryx,Size of repo,34528.0
https://github.com/cloudera/oryx,Active time in days,1039.0
https://github.com/cloudera/oryx,Has downloads,1.0
https://github.com/h2oai/h2o-2,Number of open issues,10.0
https://github.com/h2oai/h2o-2,Is a fork,0.0
https://github.com/h2oai/h2o-2,Has wiki,1.0
https://github.com/h2oai/h2o-2,Number of watchers,2116.0
https://github.com/h2oai/h2o-2,Has issues,0.0
https://github.com/h2oai/h2o-2,Active time in days,1396.0
https://github.com/h2oai/h2o-2,Has downloads,1.0
https://github.com/h2oai/h2o-2,Size of repo,774706.0
https://github.com/NervanaSystems/neon,Number of open issues,32.0
https://github.com/NervanaSystems/neon,Is a fork,0.0
https://github.com/NervanaSystems/neon,Has wiki,1.0
https://github.com/NervanaSystems/neon,Number of watchers,2630.0
https://github.com/NervanaSystems/neon,Has issues,1.0
https://github.com/NervanaSystems/neon,Has downloads,1.0
https://github.com/NervanaSystems/neon,Size of repo,7269.0
https://github.com/NervanaSystems/neon,Active time in days,804.0
https://github.com/cazala/synaptic,Number of open issues,71.0
https://github.com/cazala/synaptic,Is a fork,0.0
https://github.com/cazala/synaptic,Has wiki,1.0
https://github.com/cazala/synaptic,Has issues,1.0
https://github.com/cazala/synaptic,Number of watchers,3356.0
https://github.com/cazala/synaptic,Has downloads,1.0
https://github.com/cazala/synaptic,Size of repo,4148.0
https://github.com/cazala/synaptic,Active time in days,743.0
https://github.com/ryanb/ruby-warrior,Number of open issues,53.0
https://github.com/ryanb/ruby-warrior,Is a fork,0.0
https://github.com/ryanb/ruby-warrior,Has wiki,1.0
https://github.com/ryanb/ruby-warrior,Has issues,1.0
https://github.com/ryanb/ruby-warrior,Number of watchers,3340.0
https://github.com/ryanb/ruby-warrior,Size of repo,880.0
https://github.com/ryanb/ruby-warrior,Has downloads,1.0
https://github.com/ryanb/ruby-warrior,Active time in days,2995.0
https://github.com/sjwhitworth/golearn,Number of open issues,34.0
https://github.com/sjwhitworth/golearn,Is a fork,0.0
https://github.com/sjwhitworth/golearn,Has wiki,1.0
https://github.com/sjwhitworth/golearn,Has issues,1.0
https://github.com/sjwhitworth/golearn,Number of watchers,3607.0
https://github.com/sjwhitworth/golearn,Active time in days,1021.0
https://github.com/sjwhitworth/golearn,Size of repo,29352.0
https://github.com/sjwhitworth/golearn,Has downloads,1.0
https://github.com/JohnLangford/vowpal_wabbit,Number of open issues,26.0
https://github.com/JohnLangford/vowpal_wabbit,Is a fork,0.0
https://github.com/JohnLangford/vowpal_wabbit,Has wiki,1.0
https://github.com/JohnLangford/vowpal_wabbit,Has issues,1.0
https://github.com/JohnLangford/vowpal_wabbit,Number of watchers,4165.0
https://github.com/JohnLangford/vowpal_wabbit,Size of repo,106961.0
https://github.com/JohnLangford/vowpal_wabbit,Active time in days,2711.0
https://github.com/JohnLangford/vowpal_wabbit,Has downloads,1.0
https://github.com/numenta/nupic,Number of open issues,452.0
https://github.com/numenta/nupic,Is a fork,0.0
https://github.com/numenta/nupic,Has wiki,1.0
https://github.com/numenta/nupic,Number of watchers,4684.0
https://github.com/numenta/nupic,Has issues,1.0
https://github.com/numenta/nupic,Has downloads,1.0
https://github.com/numenta/nupic,Active time in days,1355.0
https://github.com/numenta/nupic,Size of repo,143034.0
https://github.com/clips/pattern,Number of open issues,88.0
https://github.com/clips/pattern,Is a fork,0.0
https://github.com/clips/pattern,Has wiki,1.0
https://github.com/clips/pattern,Number of watchers,5045.0
https://github.com/clips/pattern,Has issues,1.0
https://github.com/clips/pattern,Size of repo,46447.0
https://github.com/clips/pattern,Active time in days,2068.0
https://github.com/clips/pattern,Has downloads,1.0
https://github.com/Theano/Theano,Number of open issues,696.0
https://github.com/Theano/Theano,Is a fork,0.0
https://github.com/Theano/Theano,Has wiki,1.0
https://github.com/Theano/Theano,Has issues,1.0
https://github.com/Theano/Theano,Number of watchers,5350.0
https://github.com/Theano/Theano,Has downloads,1.0
https://github.com/Theano/Theano,Size of repo,60795.0
https://github.com/Theano/Theano,Active time in days,1970.0
https://github.com/dmlc/xgboost,Number of open issues,455.0
https://github.com/dmlc/xgboost,Is a fork,0.0
https://github.com/dmlc/xgboost,Has wiki,1.0
https://github.com/dmlc/xgboost,Number of watchers,5481.0
https://github.com/dmlc/xgboost,Has issues,1.0
https://github.com/dmlc/xgboost,Has downloads,1.0
https://github.com/dmlc/xgboost,Active time in days,1060.0
https://github.com/dmlc/xgboost,Size of repo,6569.0
https://github.com/karpathy/convnetjs,Number of open issues,41.0
https://github.com/karpathy/convnetjs,Is a fork,0.0
https://github.com/karpathy/convnetjs,Has wiki,1.0
https://github.com/karpathy/convnetjs,Number of watchers,6095.0
https://github.com/karpathy/convnetjs,Has issues,1.0
https://github.com/karpathy/convnetjs,Active time in days,1055.0
https://github.com/karpathy/convnetjs,Has downloads,1.0
https://github.com/karpathy/convnetjs,Size of repo,27806.0
https://github.com/dmlc/mxnet,Number of open issues,997.0
https://github.com/dmlc/mxnet,Is a fork,0.0
https://github.com/dmlc/mxnet,Has wiki,0.0
https://github.com/dmlc/mxnet,Number of watchers,7389.0
https://github.com/dmlc/mxnet,Has issues,1.0
https://github.com/dmlc/mxnet,Has downloads,1.0
https://github.com/dmlc/mxnet,Size of repo,12868.0
https://github.com/dmlc/mxnet,Active time in days,612.0
https://github.com/harthur/brain,Number of open issues,17.0
https://github.com/harthur/brain,Is a fork,0.0
https://github.com/harthur/brain,Has wiki,1.0
https://github.com/harthur/brain,Number of watchers,7445.0
https://github.com/harthur/brain,Has issues,1.0
https://github.com/harthur/brain,Active time in days,2296.0
https://github.com/harthur/brain,Size of repo,1009.0
https://github.com/harthur/brain,Has downloads,1.0
https://github.com/Microsoft/CNTK,Number of open issues,507.0
https://github.com/Microsoft/CNTK,Is a fork,0.0
https://github.com/Microsoft/CNTK,Has wiki,1.0
https://github.com/Microsoft/CNTK,Number of watchers,9060.0
https://github.com/Microsoft/CNTK,Has issues,1.0
https://github.com/Microsoft/CNTK,Active time in days,403.0
https://github.com/Microsoft/CNTK,Size of repo,460156.0
https://github.com/Microsoft/CNTK,Has downloads,1.0
https://github.com/apache/incubator-predictionio,Number of open issues,63.0
https://github.com/apache/incubator-predictionio,Is a fork,0.0
https://github.com/apache/incubator-predictionio,Has wiki,0.0
https://github.com/apache/incubator-predictionio,Has issues,1.0
https://github.com/apache/incubator-predictionio,Number of watchers,9863.0
https://github.com/apache/incubator-predictionio,Has downloads,1.0
https://github.com/apache/incubator-predictionio,Size of repo,33870.0
https://github.com/apache/incubator-predictionio,Active time in days,1432.0
https://github.com/fchollet/keras,Number of open issues,1868.0
https://github.com/fchollet/keras,Is a fork,0.0
https://github.com/fchollet/keras,Has wiki,1.0
https://github.com/fchollet/keras,Has issues,1.0
https://github.com/fchollet/keras,Number of watchers,10716.0
https://github.com/fchollet/keras,Active time in days,646.0
https://github.com/fchollet/keras,Has downloads,1.0
https://github.com/fchollet/keras,Size of repo,5140.0
https://github.com/BVLC/caffe,Number of open issues,950.0
https://github.com/BVLC/caffe,Is a fork,0.0
https://github.com/BVLC/caffe,Has wiki,1.0
https://github.com/BVLC/caffe,Has issues,1.0
https://github.com/BVLC/caffe,Number of watchers,14950.0
https://github.com/BVLC/caffe,Active time in days,1207.0
https://github.com/BVLC/caffe,Has downloads,1.0
https://github.com/BVLC/caffe,Size of repo,49240.0
https://github.com/scikit-learn/scikit-learn,Number of open issues,1168.0
https://github.com/scikit-learn/scikit-learn,Is a fork,0.0
https://github.com/scikit-learn/scikit-learn,Has wiki,1.0
https://github.com/scikit-learn/scikit-learn,Number of watchers,15614.0
https://github.com/scikit-learn/scikit-learn,Has issues,1.0
https://github.com/scikit-learn/scikit-learn,Size of repo,78876.0
https://github.com/scikit-learn/scikit-learn,Has downloads,1.0
https://github.com/scikit-learn/scikit-learn,Active time in days,2330.0
https://github.com/tensorflow/tensorflow,Number of open issues,783.0
https://github.com/tensorflow/tensorflow,Is a fork,0.0
https://github.com/tensorflow/tensorflow,Has wiki,0.0
https://github.com/tensorflow/tensorflow,Number of watchers,41621.0
https://github.com/tensorflow/tensorflow,Has issues,1.0
https://github.com/tensorflow/tensorflow,Size of repo,80647.0
https://github.com/tensorflow/tensorflow,Active time in days,422.0
https://github.com/tensorflow/tensorflow,Has downloads,1.0
https://github.com/ajam/2014_payday-nation-data,Number of open issues,1.0
https://github.com/ajam/2014_payday-nation-data,Is a fork,0.0
https://github.com/ajam/2014_payday-nation-data,Has wiki,1.0
https://github.com/ajam/2014_payday-nation-data,Number of watchers,24.0
https://github.com/ajam/2014_payday-nation-data,Has issues,1.0
https://github.com/ajam/2014_payday-nation-data,Active time in days,0.0
https://github.com/ajam/2014_payday-nation-data,Has downloads,1.0
https://github.com/ajam/2014_payday-nation-data,Size of repo,10056.0
https://github.com/huffpostdata/ap-election-loader,Number of open issues,1.0
https://github.com/huffpostdata/ap-election-loader,Is a fork,0.0
https://github.com/huffpostdata/ap-election-loader,Has wiki,1.0
https://github.com/huffpostdata/ap-election-loader,Has issues,1.0
https://github.com/huffpostdata/ap-election-loader,Number of watchers,48.0
https://github.com/huffpostdata/ap-election-loader,Has downloads,1.0
https://github.com/huffpostdata/ap-election-loader,Size of repo,46.0
https://github.com/huffpostdata/ap-election-loader,Active time in days,968.0
https://github.com/datadesk/python-elections,Number of open issues,9.0
https://github.com/datadesk/python-elections,Is a fork,0.0
https://github.com/datadesk/python-elections,Has wiki,1.0
https://github.com/datadesk/python-elections,Number of watchers,165.0
https://github.com/datadesk/python-elections,Has issues,1.0
https://github.com/datadesk/python-elections,Active time in days,1524.0
https://github.com/datadesk/python-elections,Size of repo,1967.0
https://github.com/datadesk/python-elections,Has downloads,1.0
https://github.com/censusreporter/censusreporter,Number of open issues,80.0
https://github.com/censusreporter/censusreporter,Is a fork,0.0
https://github.com/censusreporter/censusreporter,Has wiki,1.0
https://github.com/censusreporter/censusreporter,Number of watchers,184.0
https://github.com/censusreporter/censusreporter,Has issues,1.0
https://github.com/censusreporter/censusreporter,Active time in days,1300.0
https://github.com/censusreporter/censusreporter,Size of repo,77065.0
https://github.com/censusreporter/censusreporter,Has downloads,1.0
https://github.com/TimeMagazine/babynames,Number of open issues,1.0
https://github.com/TimeMagazine/babynames,Is a fork,0.0
https://github.com/TimeMagazine/babynames,Has wiki,1.0
https://github.com/TimeMagazine/babynames,Number of watchers,220.0
